method,n,imp_V0,pval_V0,imp_V1,pval_V1,imp_V2,pval_V2
CPI,100,0.13298568095622182,0.001298924169604189,1.118205094017043,1.3830143106163516e-07,-0.04667929725606085,0.9067332237064488
CPI,200,0.050761552951429895,0.0047592774619793655,1.2996722758243175,2.9682929135820524e-20,0.003009960579540846,0.3943797898314513
CPI,350,0.04590249295861083,0.0018355127745428026,1.147608930224119,1.3686630898165269e-24,-0.009615494399274923,0.8852985802729112
CPI,500,0.056215004711169046,0.0005277553868991694,1.1453707866111091,7.890084923806056e-35,-0.009474466817167487,0.979800047603964
CPI,750,0.07389450549266423,3.748971789167255e-08,1.1110904659898442,7.649052413602164e-55,-0.0007506287580602171,0.6947556384825382
CPI,1000,0.07748828477496852,7.568849547369317e-11,1.05540238807794,4.241538061823635e-69,-0.0007479492352904073,0.6940838284322384
CPI,2000,0.07364052626551938,1.1167865723047725e-21,1.0908706003655906,1.9443428232084915e-133,-9.6320743213693e-05,0.5323053079124936
CPI,3500,0.07386087928628933,3.6902756480628895e-34,1.105003920479351,2.693543776714744e-231,0.00021651213939357676,0.3266820664263164
CPI,5000,0.0682019630162916,2.89442987932898e-44,1.0994182085554742,0.0,-0.0004868655532847865,0.7944605988835938
CPI,7500,0.06620707817046333,1.878060130465388e-69,1.1106729439962577,0.0,-0.00025574165958078466,0.9496671341447412
CPI,9000,0.06563644607228279,6.126599904861895e-77,1.1068538018939778,0.0,-0.00045893626537605995,0.927551077961817
CPI,11000,0.0648941915684626,5.317319828200806e-100,1.0946277121612584,0.0,-0.00018083372855688258,0.7516486194618058
CPI,13000,0.0642559625103356,6.230178631760099e-119,1.0904048178347368,0.0,-0.00014994255799844963,0.8901127340775539
CPI,15000,0.06487134666443256,6.421634636534294e-137,1.0880283459971194,0.0,-0.0002880585929905825,0.9353028226493281
PFI,100,0.5650267897447143,1.747091290992899e-13,4.655208391509898,3.1437706476526422e-24,0.36793627069894136,7.812174361420375e-07
PFI,200,0.3263929306912795,1.767763618445641e-12,7.510552933701454,1.0155236728392882e-56,0.1429154420903499,3.37847840424589e-07
PFI,350,0.3007606939041601,6.240599496971266e-19,7.141258461191862,5.321961517016932e-112,0.05741982735606795,0.000579408704921156
PFI,500,0.518368090837052,4.2479557242262485e-44,8.140437513406534,1.967453818018225e-166,0.03516252805964047,0.0003286897954640587
PFI,750,0.5429645301587641,4.693095526649747e-81,7.961754684661059,2.4705629486339295e-270,0.01879907011964309,0.00014286665626315594
PFI,1000,0.5739677406969413,5.688731532135484e-108,7.274200045052476,0.0,0.027747051225280355,2.0564968586417638e-07
PFI,2000,0.4973122565005913,4.843730959437889e-187,7.563269700369985,0.0,0.022734816034652057,4.106512934590729e-11
PFI,3500,0.5317271247541812,0.0,7.5184128537072255,0.0,0.011466225017308287,6.569538049600957e-12
PFI,5000,0.5193595839052807,0.0,7.5954289572239855,0.0,0.021415784267797215,6.744671224781139e-28
PFI,7500,0.47675044305963377,0.0,8.091446718250745,0.0,0.0006463301491681832,0.01636840833371598
PFI,9000,0.5143381342250568,0.0,7.7469930375855265,0.0,0.01271998529942474,4.870442949512284e-21
PFI,11000,0.49329833544466817,0.0,7.836569709254262,0.0,0.016122858612052385,8.841349146643649e-46
PFI,13000,0.4750532738481926,0.0,8.128842609424382,0.0,0.001132799558159433,1.7697367772177945e-06
PFI,15000,0.47394156806865945,0.0,8.082253867738093,0.0,0.0031066933150341093,3.538925671208501e-16
LOCO,100,0.03911202988672502,0.00035845087491392924,0.07547941616591358,0.0017408413625311647,-0.012270072147437139,0.9249779885423881
LOCO,200,0.025500696851327276,0.013100082666415935,0.16641134851741268,7.031375481858504e-11,-0.001563982848610479,0.5693281269769552
LOCO,350,0.016752431428922354,0.02586302923235506,0.1696007662428234,4.2502679153955114e-10,-0.008256316811370734,0.8397691988600091
LOCO,500,0.004956356996151934,0.26967353156085905,0.16473441720923776,1.5443202272535927e-13,0.00468450314154123,0.2578472156122211
LOCO,750,-0.0029838161754008885,0.6619582799322914,0.18723075195802785,0.0,-0.01236897633009637,0.9601372689893779
LOCO,1000,0.008276049291766285,0.11745488590741937,0.16550064415638543,0.0,-0.01017050711413503,0.9562164245177539
LOCO,2000,0.005411565129351814,0.1406164155927223,0.15858925793100964,0.0,0.00270713148603996,0.28236017078746467
LOCO,3500,0.015630947901576597,6.490285816340702e-05,0.1902889053887301,0.0,-0.000270031248847169,0.5293571046387102
LOCO,5000,0.01063217670004113,0.0007727796022111155,0.17786933038005337,0.0,0.0045780211717333374,0.06529538518216005
LOCO,7500,0.010985018646969769,2.533860036280089e-05,0.1919435688382598,0.0,0.0038800516867153467,0.059446014070105635
LOCO,9000,0.014075324585960614,1.4769066525310848e-08,0.18778912906321232,0.0,0.00010342962471088235,0.4819973928909941
LOCO,11000,0.009862176811091361,5.944652454403787e-06,0.18069739244389316,0.0,0.00030765125067799826,0.43996994161041303
LOCO,13000,0.008027144030369304,5.313567961628962e-05,0.18016726060415078,0.0,0.0010367052347497463,0.2951376243396282
LOCO,15000,0.011274325924921724,3.2820390849508385e-09,0.18295642583314953,0.0,-0.0001682753795916314,0.5380615339252268
