method,intra_cor,imp_V0,pval_V0,imp_V1,pval_V1,imp_V2,pval_V2
CPI,0.0,0.23707960191982017,6.7165509038001335e-31,3.953735332711978,1.0849225743074796e-86,-0.00819793350013,0.9949377973854443
CPI,0.05,0.24441171568831743,8.226242613189417e-30,3.9386427064165974,4.2282392665746e-90,-0.003731723330052284,0.9767954264439201
CPI,0.1,0.25302351338287016,8.187021513860331e-35,3.9428430846908236,3.582413265799041e-89,0.0004021523426519401,0.43341757687213645
CPI,0.2,0.1950863888997383,1.9409304758783179e-28,3.6220901646466865,2.0297973505883785e-89,-0.0024449491496108216,0.8268354521922616
CPI,0.3,0.22353671712213366,5.995333307336579e-28,3.24910477604366,1.194246030615877e-93,-0.009397388613619061,0.9991735799096726
CPI,0.5,0.12708550678447558,5.6969575750758235e-18,2.863793027757818,3.897486972510705e-91,0.0017549078688213506,0.2149530623108885
CPI,0.65,0.12279194116567672,8.697263254411767e-18,1.891947893380575,2.5197023782836646e-86,-0.0010758162752231282,0.6706033177469866
CPI,0.8,0.06162607590345233,3.016634581224526e-09,1.124882978655307,8.269153697768885e-67,-0.00308288036582923,0.9023657415352933
CPI,0.9,0.05718992192889231,1.8267607983241732e-07,0.5873152669365961,2.0146489422518216e-52,0.0007580538689119045,0.3664564025930759
PFI,0.0,0.5171419035590834,2.21158124003242e-123,8.45908254363636,0.0,-0.004005211658772421,0.9182438633237231
PFI,0.05,0.5238006347385032,3.5770792191476176e-120,8.453318976276643,0.0,-0.0004867385023504537,0.6095285452400978
PFI,0.1,0.555939243485326,6.853466001755929e-132,8.448282137442645,0.0,0.0035828055918966377,0.06142987467869255
PFI,0.2,0.4380976823322101,4.59721374073731e-111,8.022370666463258,0.0,-0.0011606252505717927,0.6859698853013918
PFI,0.3,0.5852201711323987,7.919665460245662e-122,8.052085674668934,0.0,0.008339283112816998,0.002193680264061997
PFI,0.5,0.4220457507550486,2.4678016866712656e-105,8.705179296551304,0.0,0.007641746750714271,0.006385157921357347
PFI,0.65,0.5668556305605496,7.3709258816075e-129,8.068665890947338,0.0,0.010276879876202245,0.00019089804929181802
PFI,0.8,0.4782711375109084,6.1752933490370396e-89,7.82631839517027,0.0,0.027244647137164225,1.0647970922372803e-05
PFI,0.9,0.8793367818049866,1.4216922905053396e-125,7.136697852953842,1.757618518283747e-309,0.06961435206894744,6.881981338102526e-14
LOCO,0.0,0.049991686029602134,1.2812129246420056e-08,0.8889941338980344,0.0,0.005200971806741395,0.19546362500678705
LOCO,0.05,0.04607189327195993,3.412444457007169e-07,0.8875224584919039,0.0,0.001997253937091603,0.3679992182739399
LOCO,0.1,0.04353417636388757,9.367121862613459e-07,0.7918761628811538,0.0,-0.01722516289559639,0.9980624952243252
LOCO,0.2,0.03574253444954456,1.1030594405658789e-05,0.7471512943210928,0.0,-0.004115855701814608,0.7526217484009781
LOCO,0.3,0.03296683347464613,2.898390623207181e-05,0.554029469323965,0.0,-0.007354628726212953,0.9084347039005802
LOCO,0.5,0.02501676031520017,0.0002007429657296944,0.521234612068981,0.0,-0.004940273550396057,0.7997652570591849
LOCO,0.65,0.01230209273982763,0.034096461773178044,0.2944093837346552,0.0,0.0053167789984222,0.17437913909193692
LOCO,0.8,0.021101419051134607,0.0005188267716492723,0.17780651681443171,0.0,-0.0036072462377290115,0.7431450580025991
LOCO,0.9,0.009709519916621057,0.06846555408865906,0.07352852276873911,1.9701351661183253e-11,0.004910459491256347,0.20661348941942914
